global_capture,point_index,pulse,x_target_nm,y_target_nm,x_nm,y_nm,peak_intensity_mV
,78,3,-1250000,500000,1882.3818897637796,0.0,631.7667322834645
,79,1,-1000000,500000,0.0,0.0,631.7667322834645
,79,2,-1000000,500000,-1882.3818897637796,-3779.527559055118,236.83562992125985
,79,3,-1000000,500000,-1882.3818897637796,0.0,631.7667322834645
,80,1,-750000,500000,-1882.3818897637796,0.0,631.7667322834645
,80,2,-750000,500000,-1882.3818897637796,0.0,236.83562992125985
,80,3,-750000,500000,0.0,0.0,631.7667322834645
,81,1,-500000,500000,-3764.763779527559,0.0,631.7667322834645
,81,2,-500000,500000,0.0,0.0,236.83562992125985
,81,3,-500000,500000,1882.3818897637796,0.0,631.7667322834645
,82,1,-250000,500000,-5647.145669291339,0.0,631.7667322834645
,82,2,-250000,500000,-3764.763779527559,0.0,236.83562992125985
,82,3,-250000,500000,-1882.3818897637796,0.0,631.7667322834645
,83,1,0,500000,3764.763779527559,0.0,631.7667322834645
,83,2,0,500000,-3764.763779527559,0.0,236.83562992125985
,83,3,0,500000,-1882.3818897637796,0.0,631.7667322834645
,84,1,250000,500000,3764.763779527559,0.0,631.7667322834645
,84,2,250000,500000,3764.763779527559,0.0,236.83562992125985
,84,3,250000,500000,1882.3818897637796,0.0,631.7667322834645
,85,1,500000,500000,0.0,0.0,631.7667322834645
,85,2,500000,500000,-5647.145669291339,0.0,236.83562992125985
,85,3,500000,500000,0.0,0.0,631.7667322834645
,86,1,750000,500000,-1882.3818897637796,0.0,631.7667322834645
,86,2,750000,500000,3764.763779527559,0.0,236.83562992125985
,86,3,750000,500000,0.0,0.0,631.7667322834645
,87,1,1000000,500000,0.0,0.0,710.5068897637796
,87,2,1000000,500000,-5647.145669291339,0.0,315.88336614173227
,87,3,1000000,500000,3764.763779527559,0.0,631.7667322834645
,88,1,1250000,500000,-3764.763779527559,0.0,631.7667322834645
,88,2,1250000,500000,-7529.527559055118,0.0,236.83562992125985
,88,3,1250000,500000,-3764.763779527559,0.0,631.7667322834645
,89,1,-1250000,750000,-3764.763779527559,0.0,710.5068897637796
,89,2,-1250000,750000,-3764.763779527559,0.0,236.83562992125985
,89,3,-1250000,750000,-1882.3818897637796,0.0,631.7667322834645
,90,1,-1000000,750000,-1882.3818897637796,0.0,631.7667322834645
,90,2,-1000000,750000,-3764.763779527559,0.0,236.83562992125985
,90,3,-1000000,750000,-3764.763779527559,-3779.527559055118,631.7667322834645
,91,1,-750000,750000,-3764.763779527559,0.0,631.7667322834645
,91,2,-750000,750000,-1882.3818897637796,0.0,236.83562992125985
,91,3,-750000,750000,-3764.763779527559,0.0,631.7667322834645
,92,1,-500000,750000,1882.3818897637796,0.0,631.7667322834645
,92,2,-500000,750000,-3764.763779527559,-3779.527559055118,236.83562992125985
,92,3,-500000,750000,-1882.3818897637796,0.0,631.7667322834645
,93,1,-250000,750000,-3764.763779527559,0.0,631.7667322834645
,93,2,-250000,750000,-3764.763779527559,0.0,236.83562992125985
,93,3,-250000,750000,-5647.145669291339,0.0,631.7667322834645
,94,1,0,750000,-1882.3818897637796,0.0,631.7667322834645
,94,2,0,750000,-3764.763779527559,0.0,236.83562992125985
,94,3,0,750000,-1882.3818897637796,0.0,710.5068897637796
,95,1,250000,750000,0.0,0.0,631.7667322834645
